userName,score,at,content
sor juet,4,2025-11-12 20:59:35,kenapa tidak ada pilihan bahasa
Qifa Saf,4,2025-11-12 19:28:15,bagus buat melatih otak *
Kenzie Alrasyid,3,2025-11-12 18:44:08,um can this game no error plis chest
Delvano Maulana,3,2025-11-12 16:40:14,"gamenya aneh, katanya lawan orang taunya lawan bot. diajak chat diem doang"
Siti Syiffa,1,2025-11-12 15:30:51,mau belajar catur malah disuruh bayar premium
Fatwa Azan,5,2025-11-12 10:56:22,cool game
Ilham Taupik,5,2025-11-12 09:51:55,sgt seru dan mengajari cara merencanakan sesuatu
lumiiinnn,1,2025-11-12 09:22:00,"you know why I give you 1 star, if you dont have solution to that im not changing to 5 star"
Rahmadi 1991,5,2025-11-12 09:03:38,mind game
IRFAN AKBAR,5,2025-11-12 08:31:35,"bagus, walaupun berbayar"
Yayan Ahu,5,2025-11-12 08:17:27,"Permainan yang bagus, bisa main online dan offline, Dan bisa bermain sama orang-orang luar negeri"
Aldis Aldis,1,2025-11-12 06:57:24,kikir kayak 🧃🧃🧃🧃🧃
Zafran Kaizan,5,2025-11-11 21:32:44,"Gamee nya seruu, lawannya setara tapi kadang² ada yang pura² elo nya kecil, bisa ngeliat ulasan apakah kita dapat brilian juga, pokoknya bagus deh😆"
sulthan sesa,5,2025-11-11 20:24:52,gam ini mengasah otak aku suka catur
Karya Mandiri Agro,5,2025-11-11 16:53:53,kurang satu free analyze plss lah🙏🙏🥺🥺
Ibrahimibe0211@gmail.com Abdul0405,5,2025-11-11 08:20:38,game catur ini membuat saya semakin kuat dalam bermain catur. game catur yang paling terbaik di dunia
Ika Nurul faridah,1,2025-11-11 07:35:22,"jujur sebenernya asik main ini tapi saya bener2 kesal beberapa kali main sudah hampir menang di remis,kecewa buruk ini jangan mau download ini soalnya gak murni penilaiannya 👎👎👎👎"
Dzakwan Wattaqy,1,2025-11-11 00:12:04,too hard
panji prasetyo utomo,5,2025-11-10 23:37:53,oyee
mhd dodi,5,2025-11-10 20:58:28,bikin stres main nya🗿
Hefriani Firdaus,1,2025-11-10 20:49:30,"sia sia bermain dan belajar sampe berlangganan disini. GK nanggung2, Rp580.000 untuk berlangganan premium. eh, tiba sudah pinter dan menang terus, di nonaktifkan akunku. brengsek ini aplikasi."
Rizqi Alkhairi,3,2025-11-10 17:19:52,kepencet trus jir
Dimas_,5,2025-11-10 16:31:20,semoga bissa sampai ke rating 1000 sebelum 2026!!!(597)
dhevinajiewiguna,5,2025-11-10 14:21:36,"game kerja masa depan gw, bismillah"
Sa'ad Bafadhol,5,2025-11-10 13:24:12,Cari lawan yang kuat.. sekelas mikhail Tal..♟️♟️♟️☝️
Dizahasto 123,5,2025-11-10 07:35:49,cukup menyenangkan...tingkatkan lagi kemudahan diawal untuk bermain
Tuwuh Ponco Nirsetio,5,2025-11-10 07:34:48,asik jg
Yaudahiyah 369,5,2025-11-10 07:13:50,nonstopsendiri
Rasid,5,2025-11-10 06:45:50,Game nya seru
Warren Keegan,5,2025-11-09 19:32:25,Ini game bagus banget
Usep Tea,5,2025-11-09 19:31:53,siip
Botz Akun,1,2025-11-09 18:53:21,"sering keluar sendiri gamenya, banyak bug, kadang sinyal bagus tiba2 drop. bahkan setelah skak math masih lanjut dengan sisa waktu yang ada. terkadang meulai pertandingan dengan waktu 00:00 sampe bingung ini ini ada timer nya apa kagak"
M Ardi,5,2025-11-09 18:10:39,game paling ngasah otak
mas imam,5,2025-11-09 17:58:35,game nya bagus...bikin naikin mood dan cara berfikir yg positif...
Kurnia Mega,5,2025-11-09 14:50:10,sudah ga diban 😛 yesir
Amirullah panglimo_liemboert,1,2025-11-09 14:39:36,"sering lagi asyik main, sinyal hilang akhirnya permainan dinabaikan terus kena pelanggaran pula"
Fajri,5,2025-11-09 14:01:45,permainannya sangat menantang dan sangat tidak membosankan
Nafisa Irhami,5,2025-11-09 13:58:12,seruuuy
Fahri Rifais,4,2025-11-09 12:51:44,paytowin jing
RADITYA DWI ARYANTO,5,2025-11-09 11:07:30,brilliant
lucky,5,2025-11-09 09:13:18,tambahkan lebih banyak fitur
Mubin Podeng,5,2025-11-09 05:19:50,top
Muhammad Umar,1,2025-11-09 03:11:06,"aneh, mainnya bagus dikira ngecheat, taik!!"
Kenzo Arzaq,1,2025-11-08 22:49:31,lawan nya op op semua
Santi Mansi,5,2025-11-08 20:55:37,game ini bagus
Amba Veo,5,2025-11-08 20:39:10,"Awalnya catur ngebosenin sama sulit jadinya males main, cuma makin hari rasanya makin menantang dan alhasil jadi hobi baru sekarang."
Nicola's Gerry,5,2025-11-08 20:16:30,candu uyyy
KEVIN ABIL HIKAM,5,2025-11-08 17:54:56,"gg banget wok, 1 minggu main udah berasa gm :v"
Juhariah Ria,5,2025-11-08 12:03:20,"Gamenya keren,ngasah otak duat mikir,lagi gabut main ini mulu"
Bhintang Jambi,5,2025-11-08 10:48:10,"sangat mengasyikkan dan mengasah otak, juga dapat mengulas permainan setelah selesai"
Belacan Abc,1,2025-11-08 08:43:07,banyak cheat tapi kita masih dirugikan karena walaupun report responnya lama dan intinya ga rekomen
skylight,3,2025-11-08 08:09:51,"tolong untuk fitur panduan main catur, penjelasannya adain opsi pakai b. Indonesian, karena ga semua orang jago b. inggris 🙏🏻"
Rudyamora Herlangga Matalkah,1,2025-11-08 07:58:02,gk bisa login kalo udh logout
Lukman Hw,5,2025-11-08 05:02:08,"game mantap bro sesuai logika, dan bisa asah otak bro 😂😂😂😂😂"
Jaharman Samaloisa,1,2025-11-08 02:53:09,"dalam permainan sinyal tidak stabil padahal sinyal di ponsel stabil, tolong di perbaiki lagi kualitas nya"
Bayu Hen,5,2025-11-07 20:08:48,musuh nya menggunakan cheat tetapi tidak di ban oleh dev ini gimana sih game nya banyak bug game nya buruk jangan di download guys ini ku kasih bintang 5 agar orang² bisa melihatnya dan game ini banyak kecurangan seperti tiba² pion tidak bisa gerak sampai waktu habis perbaikan doang males ni
Adha Adeha,5,2025-11-07 20:02:41,sangat keren aplikasi catur chess com.lengkap fiturnya dan menambah wawasan dalam bermain catur.
Jeco Bbsbs,5,2025-11-07 19:12:41,"Bagus,Bisa belajar catur dan bermain dengan teman"
Ee-One_ M4d1N4,5,2025-11-07 17:28:19,menarik
Reyhan Nafaril,2,2025-11-07 15:31:20,"Gw kasih bintang 2, karna gw baru ws (win streak) 4× tiba"" akun gw di ban, aneh banget sumpah, gw g main curang, murni iya, apaan coba?"
Muhammad Kevin raditya,5,2025-11-07 14:26:56,"aku sudah kasih bintang lima,sekarang developer harus mengasih 6000 elo kepadaku"
Algon Benoza,4,2025-11-07 12:35:58,"menurut saya, selain jaringan yang kadang-kadang tidak stabil, tidak ada kekurangan lain dari game ini, saya punya sedikit masukan dan mungkin ini bisa dipertimbangkan oleh pihak development, pengalaman bermain mungkin akan lebih menyenangkan jika fitur komunikasi langsung via suara atau video dengan lawan ditambahkan"
P Siti Yana Asy Syifa,3,2025-11-07 10:14:57,"aplikasinya bagus, tapi tolong ditingkatkan lagi, Krn cape bgt, ngga bis a ganti bahasa lain apa??..., bahasa Indonesia"
Shincan Boy,4,2025-11-07 09:22:10,game bgus
Krigs2,5,2025-11-07 08:48:32,very guud😂😂😂😂
AirU,4,2025-11-07 02:31:55,"Preferensi bidak yang tidak bisa diubah saat lawan bot waktu terbatas, design bidak yang jelek hingga sulit dibedakan apalagi di event kali ini ada suara yang berisik dan aneh. Apalagi sebelumnya banyak bot dipakaikan warna papan catur yang bikin sakit mata, gak enak banget. Lebih mending design bidak catur waktu lawan bot blindfolded, transparan wkwkwk."
ernetti,5,2025-11-06 22:23:45,reispek
Habib Jauharsyah,5,2025-11-06 22:14:46,game ini SANGAAAAAT BAGUS bisa bermain jarak jauh bersama teman dan pelatihan nya sangat mudah dipahami oleh pemula. saya MOHON developer tolong tambah kan lebih banyak tema dari papan catur dan bidak catur nya
SANS,5,2025-11-06 20:15:21,"Sekedar solusi jika tiba2 koneksi hilang, secepatnya mati-hidupkan koneksi internet (data/wifi) anda. Karena terkadang jaringan kita yang tidak stabil. Sebab internet cepat belum tentu stabil"
Arya Alwira,5,2025-11-06 19:55:16,terbaiik
Rendy Marvin,5,2025-11-06 19:28:50,thank you for teaching me to be magnus
Nengah Tangkas,5,2025-11-06 19:11:50,the best game
Beny Yahya,5,2025-11-06 17:45:10,kenapa aku gak bisa login
Muh Rizky Ari Pratama,5,2025-11-06 16:14:02,game bagus untuk mengasah pikiran dan kepercayaan diri
M Yusron,1,2025-11-06 15:03:02,waktu terlalu cepat
Ryan Maulana Asyura,5,2025-11-06 13:14:53,i love this game
AryaShidiqJaylani,5,2025-11-06 09:32:18,memang manakjubkan
Mr Beast,1,2025-11-06 08:53:09,pengen jago chess
Andhika Prasetya,5,2025-11-06 07:44:36,CARIIN LAWAN YANG SEPADAN
Ratu Shania,5,2025-11-06 07:06:21,udah sangat bgus
DZAKIY MUHAMMAD YUSUF,5,2025-11-06 04:41:49,let's see if this still lag or already fixed
arya kaiko,1,2025-11-05 21:20:55,"akun saya di blokir/tutup Sama admin tanpa alasan sama sekali, padahal gw main catur tidak melanggar aturan yang di tetap kan oleh aplikasi ini. dan di dalam permainan gw itu selalu jujur tanpa main curang sama sekali"
YT Mbang19,1,2025-11-05 20:24:09,"sementara 1 dulu dah, bagus si, tapi gada fitur nonaktifkan memindah bidak melalui penggeseran, cukup dipencet aja kan bisa, ga usa digesek layarnya, gampang kepencet sendiri gara2 fitur itu, gajelas."
Ervin Pratama,5,2025-11-05 19:10:04,"kadang"" bikin stress tapi gpp saya menjadi lebih belajar dalam catur"
Umawaitina Arif,5,2025-11-05 18:52:28,gak nyangka admin nya ingat sama gw😭😭
STM KARYA CHANEL,5,2025-11-05 13:27:38,bagus buat belajar mengisi waktu luang
Roni umbu,5,2025-11-05 11:12:06,sangat menarik
Sean Ryota,1,2025-11-05 10:42:46,jelek gamenya
KOTAKBULAT*FC* Bulatskibidi*FC*,3,2025-11-04 23:46:53,tolong untuk bimbingan pelatihan pakai bahasa Indonesia karna banyak yg tidak mengerti karna pakai bahasa inggris
raka anggaswara,5,2025-11-04 22:17:38,bagus ada tanda tanda gitu pas lawan bot jadinya tau itu langkah apa 😁 tapi kalo online kalo offline gk bisa tapi tetap bagus 👍👍
Ayoda Permadi,4,2025-11-04 19:19:02,gamr ny baguus tpi sayang gk ad bahasa Indonesia jdi aki kasih 4
Andrii 28,1,2025-11-04 18:42:48,"2 kali saya daftar tapi tiba-tiba akun di nonaktifkan, gak jelas."
ZAMZAM ZAMALUDIN YUSUP,5,2025-11-04 18:19:00,"menyenangkan, kedepannya adakan perlombangan yang mendapatkan hadian. untuk nenambah minat dan banyaknya yang main catur"
Gilang Dwi,3,2025-11-04 17:51:14,"aplikasi bagus, lebih bagus lagi kalo setiap pemain bisa dapat reward yg bisa di uangkan :v"
Yatta,5,2025-11-04 16:21:24,bagus cuma selalu ada penyambungan atau wifi atau internet tidak bagus padahal bagus jaringan saya
Ari Handoyo,2,2025-11-04 16:04:11,catur nya yg 3D dong biar keren masa cuman 2D doang huu
Eko Danu,5,2025-11-04 14:05:43,dapat ditambahkan fitur getar saat ada bidak yang melangkah.
imfine,5,2025-11-04 09:17:16,gacorrr
Girinatha Putra,5,2025-11-04 08:28:13,create harry potter chess
Syukri Azhar,1,2025-11-04 05:50:06,aplikasi catur nomor 1 tapi jaringan sangat buruk sekali. selalu putus putus ketika bermain online. sangat merugikan pemain. ini terjadi ketika setelah pembaruan terakhir kali. untuk pihak chess. com tolong segera diperbaiki.
Taswan Wan,5,2025-11-04 03:47:39,like
Dinding?,4,2025-11-03 23:50:02,kenapa saat saya bermain catur sangat lag? akhir akhir ini sepertinya servernya sedang rusak atau bagaimana?
FANGIR,1,2025-11-03 23:40:19,masalah sinyal terus padahal wifi lancar lancar aja tapi tiap main menyambungkan mulu gak jelas mending tutup aja
Hari Salam,5,2025-11-03 22:58:17,mantaap
Tsaqif Syarif,5,2025-11-03 21:45:50,akun gue yg pertama ilang bro
Bintang Satriadji,4,2025-11-03 21:34:02,"dari segi apapun sdh bagus,,,tapi saya ada ide untuk membuat caturnyq lebih seru,,yaitu dengan fitur 2 vs 2,,jadi kita bisa bermain dgn teman melawan player lain dgn 2 vs 2 itu jadi akan lebih menarik&seru,,,,,"
jltaqila,5,2025-11-03 20:16:25,"wahh aku suka banget sama game ini, ngasah orak buat berfikir, bisa main catur dimana aja tanpa harus bawa papan dan peralatannya, bisa main sama lawan online, bisa milih bot yang bahkan di kasih tingkatan untuk botnya sendiri aku sukaa, walaupun aku pemain catur yang sangat pemula, perkembangan aku mulai terlihat dari game ini, terimakasih developer!"
Alvinadekantari,1,2025-11-03 19:47:08,UDAH DI DOWNLOAD GABISA DI MAENIN SELALU MENTAL KELUAR ANEHHH
Mr. Nazz,5,2025-11-03 19:41:39,mentok di elo 1600 njir 😔
IVAN PAKPAHAN,1,2025-11-03 19:37:07,trash
fendi Madun,5,2025-11-03 18:42:56,cukup baik
Didi Suryadi,5,2025-11-03 16:03:04,Excellent
Erwin Erwin,5,2025-11-03 14:33:56,goooood
Nafron Raelta,2,2025-11-03 13:08:49,ada bug pion
1realme putih,1,2025-11-03 11:49:12,jaringan saya biasanya lancar dan ping tidak pernah bermasalah tapi sekarang kenapa kok sering pingnya merah2 sendiri padahal jaringannya lancar2 aja. tolong diperbaiki!!!
Arief Furqan,1,2025-11-03 11:39:04,perbaiki jaringannya
Verrel yudi Perkasa,1,2025-11-03 10:42:28,"aneh, Sinyal wifinya bagus tapi masih aja ada gangguan reconnecting tolong dong diperbaiki lagi"
Difikri 0_0,2,2025-11-03 10:38:14,"mengapa jaringan sering terputus, padahal jaringan yg saya pakai cukup baik.."
Irfan Sahlan,4,2025-11-03 08:52:13,👍👍👍👍👍
Median Lubis,3,2025-11-03 07:11:20,"min tolong diperbaiki... ahir ahir ini ada masalah dengan sistem koneksi, sering kali terganggu pada saat bermain padahal jaringan bagus , tapi waktu main jaringan sering tiba tiba merah, waktu masih banyak tiba tiba berkurang dan ini sangat menggangu dan membuat emosi pemain...itu saja makasih"
Adrian dan 5999 lainya,2,2025-11-03 02:22:49,belakangan server jadi jelek. tolong diperbaiki . permainan terganggu jadi kalah waktu dan permainan diabaikan padahal signal bagus. sudah download ulang tetap parah
Marselino Sarapi,1,2025-11-03 02:11:41,"SAMPAI KAPAN MASALAH JARINGAN MASALAH KALAH KARENA JARINGAN, TOLONG SUDAH 2 MINGGU MASALAH TETAP PADA JARINGAN"
Al Aisar2,1,2025-11-02 23:34:43,jaringan sangat buruk dan sering terputus putus padahal wifi bagus
Muhammad Awaluddin,5,2025-11-02 19:58:10,"game nya bagus sekali,sangat membantu saya belajar, dari elo saya 200-1600, saya merasakan perbedaan skill saya yang sekarang dengan yang dulu sebelum memainkan game ini✌"
Rizasaputra,1,2025-11-02 19:16:29,aplikasi gak jelas tiba2 menyerah otomatis.... hapus aja lah
Arslam Nyam,5,2025-11-02 18:59:07,populer
Muhammad Waluya jaya,5,2025-11-02 18:27:37,kerenn
Ahmad Nalendra,4,2025-11-02 15:06:55,bagus untuk pemula
rian adam,5,2025-11-02 15:02:18,mantap untuk belajar catur mudah di pahami
Yarno,5,2025-11-02 12:27:07,game ini bikin saya menjadi makin pintar dalam bermain catur terimakasih
Awang Faisal,3,2025-11-02 12:11:00,ngeselin bug nya. harusnya musuhku yg gerak. tapi malah aku yg waktunya berkurang. terus aku ga bisa gerak kemanapun. tolong di baikin bintang 3 dulu kalau udah di fix baru kasih bintang 5
Dounna Asyura,1,2025-11-02 10:33:09,"masalah sinyal sering sekali hilang sampai detik ini tidak diselesaikan oleh pencipta. membuat saya frustasi disaat sedang bermain. padahal koneksi internet saya cukup stabil. ayok lah selesaikan masalah ini. jangan hanya update tapi tidak ada perubahan apapun. sebelumnya saya memberi rating terbaik tapi karena hal ini saya harus turunkan ratingnya, sampai masalah ini selesai. terimakasih"
Juwan Maliki,4,2025-11-02 10:19:20,"kenapa di saat aku bermain catur, aku padahal kagak ngelag uda jelas wifi ku 4 batang tapi masih di nyatakan ngelag itu lah yg menyebab kan aku kalah"
Irvan Dani,3,2025-11-02 09:58:54,"Saya kurang ngerti bahasa inggris, tolong bahasa coach david ada bahasa indonesia nya saat memberi arahan."
Samuel Tiwatu,2,2025-11-02 09:21:00,"jaringan parah merugikan saya, padahal wifi saya jaringan bagus"
Reyy N,1,2025-11-02 08:21:59,Mengapa Akun Saya Di Non Aktifkan????? What Happened Bro?
AXELLE,1,2025-11-02 08:10:41,"jaringan nya ilang terus, gimana mau naikin elo bullet coba sinyal hilang 20-30s tiap permainan bullet, kalau rapid kadang Sampai 4 menit an kalau di total. perbaiki lah"
Will Septian,1,2025-11-02 01:02:40,mengapa setiap main online terjadi lag padahal sinyal bagus untuk menjalankan aplikasi lain
Zemmyh,5,2025-11-01 22:19:47,kerenn memuaskan
Bagus Zia,5,2025-11-01 20:38:32,this is my favorite games
Furqon Nadhif,1,2025-11-01 20:19:38,"mengapa saya membuat akun sudah 1300-1600 tapi di banned,alasannya selalu akun telah di nonaktifkan kenapa jujur saya kecewa karena akun yg sudah ku buat telah di nonaktifkan,padahal saya tidak menggunakan enggine dan aplikasi pihak ke dua jadi tolong,jadi tolong segera akun saya dipulihkan"
DIRLY AJA,3,2025-11-01 19:00:15,"gami ini bagus, tapi kenapa akun saya dinonaktifkan, padahall saya bermain secara adil, apakah karena saya bisa menang beruntun langsung dinonaktifkan, padahal saya menang beruntun kadang"" beruntung musuh nya blunder, apakah saya harus selalu kalah supaya akun saya tidak dinonaktifkan?"
Uciha Krisna,5,2025-11-01 18:54:16,the best strategy game
muh tahir,5,2025-11-01 18:08:33,Please make autoplay of finished games
Mob,2,2025-11-01 17:55:56,jaringan ngelag saat waktu mau habis selalu kalah karna ngelag jaringan
Rian Ismail,1,2025-11-01 17:15:15,"setelah meng update versi terbaru sering terjadi jaringan ""menyambungkan"" pdhl jaringan lagi bagus2nya. itu yg menyebabkan kehilangan waktu dan kalah 👎👎👎👎 harus ada tindak lanjut admin"
Ahmad Ropik,1,2025-11-01 15:42:20,game nya gak bisa hamil
Dan Sng,3,2025-11-01 14:54:10,"to many cheaters, lagging"
Alvin Agha maulana,4,2025-11-01 13:50:51,gem yang sangat seru
To Ni,1,2025-11-01 12:22:47,"sebenarnya bagus buat asah otak tatapi terlalu banyak pemain curang yg bisa mengatur waktu lawan jadi stuck g bisa bergerak padahal sinyal bagus, dan g ada solusi apapun untuk itu ,,"
Rizky Putra,1,2025-11-01 07:17:18,"aneh amat abis update malah jaringan merah mulu .. pake paket data , pake wifi sama semua lagi main kilat padahal udh secepat mungkin malah kalah karena habis waktu mulu gara gara jaringan .. aneh aneh"
IHSAN FATURRAHMAN,1,2025-10-31 23:23:25,"kenapa akhir2 ini ketika waktu musuh sudah mau habis, jaringan saya malah hilang, padahal jaringan saya lancar2 aja di aplikasi lain, gara2 itu saya selalu kalah waktu karena hal ini. Jadi tolong perbaikin masalah jaringan ini"
Iswan Wais,3,2025-10-31 22:19:08,"Sinyalnya hilang. berapa kali saya main, sudah melangkah, posisi bagus tp tiba-tiba aplikasi ngelag sinyal. sementara koneksi internet saya sangat bagus, saya di anggap kalah karna di abaikan. apa itu! tolong di perbaikilah. gak jelas. rating saya sering hilang, seperti di sengaja."
Matthew Panjaitan,1,2025-10-31 22:13:49,when i play the game the connection always bad while actually i had a good connection this make my elo becom low Esspeasialy for bullet. please fix this
Ari Triad,5,2025-10-31 21:57:52,"sangat bagus, menambah pengetahuan dan wawasan"
Tenty Nursinta,5,2025-10-31 20:53:41,melatih otak menjadi lebih encer
Rock theiron,3,2025-10-31 20:52:41,"kenapa pas sinyal hilang beberapa detik langsung kalah? padahal posisi lagi menang, tolong perbaharu lagi!! kalau gini kalah terus jadinya. habis poin ku 🥵"
Antonio Padua Clau,5,2025-10-31 20:01:07,"The best,"
sholeh firman,5,2025-10-31 19:39:56,pekerjaan pion tuh kalau nggak jadi tumbal ya cuma diem doang tapi sekalinya bertindak bisa jadi kunci kemenangan
Kenday Bluesky,1,2025-10-31 19:03:20,"This Games is so stupid, fix the signal, we have a good signal on wi-fi, but in game its so terrible. there's no fair play in this app. Disguisting"
LEKHA YUDISTIRA,1,2025-10-31 19:00:29,tolong masalah koneksi diperbaiki
faizdominic07,1,2025-10-31 18:51:14,"setelah update terbaru, game nya jadi sering disconnect padahal sinyal lagi bagus. Ya jelas ini merugikan banget dong misal udh posisi menang tapi jadi kalah gara gara g bisa melangkah akibat disconnect. Tolong dong diperbaiki lagi"
Syaiful Rahman,2,2025-10-31 18:03:41,koneksi sering bermasalah. tiba-tiba keluar game.
Fardan Nelka,1,2025-10-31 16:55:09,jaringan saya saat bermain selalu jelek padahal di aplikasi lain jaringan saya selalu lancar
Juventus Selamax,5,2025-10-31 15:41:37,nice game. thanks 🥰
Zhalman Fauzi,1,2025-10-31 15:01:21,jaringan ku bagus malah di kira ngeleg padahal cuma game catur maruk betul jaringan
Lilia,5,2025-10-31 14:28:03,Absolute peak cinema✋😐✋♟️🔥
Zaky Ashafi,1,2025-10-31 13:09:53,sinyal nya jelek main bullet boros waktu
Gifa Seto anantya,1,2025-10-31 12:50:37,ngelag banget su
Radyt Cs,3,2025-10-31 08:10:51,mengecewakan sering ngeleg padahal jaringan bagus
Sukik Sukik,1,2025-10-31 05:55:21,laggg habis update malah lag parahhhh
Mahendra bagus alamsyah putra,1,2025-10-31 03:15:18,Signalnya kacau.. saya harap developer segera memperbaiki
Binsar E. C. Sitorus,5,2025-10-30 23:25:49,The signal issue’s been fixed and there haven’t been any problems so far. Thanks for the quick response.
Rofa Pkl,5,2025-10-30 21:25:07,sangat membantu saya mengatasi masalah
Muhammad Shultan Maulana,1,2025-10-30 19:33:00,fitur Premove sepertinya terhapus gegara ini Elo saya menurun drastis sekitar 500 lebih
YoshimoriOng,1,2025-10-30 19:08:28,"This game literally broken bro, so LAGG Fix this network server of this game. My Elo are going down because of this LAGG network"
Qira Daesuke,1,2025-10-30 18:18:02,"selalu saja disconnect ke server saat di posisi yang menguntungkan, akibatnya poin hilang begitu saja karena momen terlewatkan. semua jaringan yang saya gunakan tetap saja selalu seperti itu."
Alif putra Wijaya,1,2025-10-30 18:05:56,"kok setelan waktu di bullet chess punya gw langsung turun lagi setelah bikin langkah, sedangkan lawan malah nambah"
nathan conary,1,2025-10-30 16:04:46,"jaringan lancar tiba tiba aja ada tulisan jaringan lag lalu permainan dibatalkan, udah 5x begini"
Zzz,1,2025-10-30 08:17:06,kok diban padahal gw gak pake bantuan apapun 😡
Ahmad Sori,5,2025-10-30 08:10:56,mantap.pemainya semua sportif
Umi Inez,5,2025-10-30 02:43:44,"Lu masih main chees pakai Indihome? mending jangan deh! jaringan bosok, harga mahal, peringkat turun gara-gara jaringan sampah. Buanglah sampah pada tempatnya."
Daniel DJ,1,2025-10-30 01:16:07,"Internet reconnecting always, keep repair it"
Firman Alamsyah,1,2025-10-29 23:36:31,update lagi dong . masa lost koneksi terus. bug nya parah
king aldous55,5,2025-10-29 23:22:38,"seru mengasah otak biar bisa berfikir kritis , rasional dan ngambil keputusan yang matang untuk melangkah, biar lebih berhati hati kalau salah sedikit bisa kita di skakmat"
Ariza Annur,1,2025-10-29 22:35:56,"sering hilang sinyal yang menbuat waktu berkurang banyak, padahal sinyal penuh dan bagus"
Raden Haris Gumilar,5,2025-10-29 21:25:09,mantaaaap
Ibrahim Pasha,4,2025-10-29 20:42:53,apk nya bagus tapi banyak bgt yg harus premium tapi gpp👍🏻
azzaki,1,2025-10-29 20:31:04,dh majukn raja supaya ga mati tpi malah di anggap ga main pdhl udh di gerakin loh
Mochammad Aminudin Haqqi,5,2025-10-29 20:02:23,Nice Game
Sad Boy,3,2025-10-29 20:00:45,sering kalah karna jaringan bagus tapi di in game ngelag
Dayu Lukmana,1,2025-10-29 18:06:09,perbaiki jaringan
Mardi Sucipto,5,2025-10-29 17:55:24,sebagai teman di kala sepi
Hafidz Nurrahman,5,2025-10-29 16:07:39,"please adain pengaturan suara, soalnya suaranya kecil.. kadang g kedengeran kalo musuh udah move.. terimakasih!"
devandra,1,2025-10-29 15:53:29,main sinyal merah terus padahal jaringan bagus🥵
alfredo raka kurniawan,5,2025-10-29 15:50:19,"Bisa fokus,dan bisa cermat"
Zoro Garing,1,2025-10-29 13:43:50,download lama
Azwar mandailing,5,2025-10-29 09:17:20,oke mantap
Taufiq Aimar,5,2025-10-29 07:45:47,apk peningkat IQ jir
Sahrul Azri,1,2025-10-29 07:45:06,gamee taik jaringan sering ilang padahal aplikasi lainnya bagus² ajaa cman game ini ajaaaa yang eror ...benerin knapa jaringan nyaa ...
Rahmat Sugandi,4,2025-10-29 07:34:08,PERMAINAN DIBATALKAN itu dilakukan oleh sistem atau pemain?
Refund Has,5,2025-10-29 07:22:53,hebat
Rudi Yanto,5,2025-10-29 05:38:58,"pengisi waktu luang,game bagus dan enak untuk di mainkan di saat waktu senggang."
Muhammad,4,2025-10-29 05:02:32,kerem aja kok😶👍
pirr0 old,1,2025-10-28 23:28:49,JARINGAN NYA JELEK BET TLL PDHAL DI HP GUA BAGUS BAGUS BAEEE
Lam Store5,5,2025-10-28 19:51:06,cocok untuk mengasah pikiran dan ide
"Dian Riandi Kusumah,des",5,2025-10-28 18:28:00,makasi
Alvino zaka Septian,5,2025-10-28 14:33:18,bagus untuk mendapatkan ilmu strategi
x7cel,5,2025-10-28 12:49:10,favorittt
Fely Angga,5,2025-10-28 01:30:17,sangat bagussss
Pengguna Google,5,2025-10-27 23:51:43,mantab bisa main sama orang sedunia
nicho Kane,5,2025-10-27 23:06:49,luar biasa bagus
Deni Sulistiawan,5,2025-10-27 19:43:22,luar biasa mengasah kemampuan diri
Aqmal Fadil,5,2025-10-27 19:33:28,game papan catur terbaik menurut saya karena ada berbagai mode seperti melawan bot yang ada tingkatan nya dari pemula-master ada juga pemain top catur seperti magnus carlsen dan juga ada mode bergantian melangkah yaitu Mode yang memungkinkan kita melawan teman di satu hp dengan secara offline di mode online ada turnamen dan melawan acak kalian juga bisa menantang player lain bermain lalu ada fitur obrolan jadi selain fokus ke gameplay game ini juga memungkinkan anda berinteraksi dengan plyr lain
Damarsyah,1,2025-10-27 19:23:27,jelek bgt jirr
Ahmad Rofi Rahman Syah,1,2025-10-27 17:56:20,apa apaan ini hasil pertandingan dapat brilian tapi pas cek history malah jadi bagus
Alan Damar29,5,2025-10-27 17:07:14,bagus gamenya jadi ngerti main catur
Deang Maharaja,5,2025-10-27 16:14:25,Ok banget
Lazir kulvir muktidir mahir Bir jambir patabir,5,2025-10-27 14:36:54,"COOL,ITS MY GAME"
Ronal Roanl,5,2025-10-27 14:21:03,kontrolnya the second coming of age movies on Netflix with friends and
Rio Herliansyah,1,2025-10-27 13:46:31,sedang bermain dan tiba tiba dianggap kalah karena jaringan yang memburuk padahal sinyal hp dalam keadaan sangat baik.. sangat merugikan peringkat pengguna
Yusril Fadil,1,2025-10-27 13:35:43,ngelag terus
Satria Anugrah,5,2025-10-27 13:22:15,seruuu anjayy
Saleh Udin,5,2025-10-27 11:58:19,apk sangat menghibur banget
Bima Abhiseka,1,2025-10-27 11:46:56,selalu disconnect disaat waktu kritis
Fawa Fadli,5,2025-10-27 11:24:27,"bagus, yang sebelumnya saya main catur yang lawan bot yang pergerakanya monoton. kini sudah lawan manusia asli"
Amyr,5,2025-10-27 11:14:50,saya suka catur dan ini cocok sekali bagi para pencinta catur yg nggak ada lawan di lingkungan nya
Bahtra Sinaga,1,2025-10-27 09:42:39,"sering putus jaringan pada saat main, aplikasi gagal ini"
ALIF Faqih,5,2025-10-27 09:32:37,bisa main sama internasional 🥳
Noelle,3,2025-10-27 09:31:22,Fart
